id,item,canvas,canvasNum,tags,texts,xywh,clippingURL,clippingImage
16f6d8bc-46e1-4bb4-be1a-26e45dbccf28,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement_image,Fighting Woman News advertisement image,"1683,2057,333,571","https://iiif.archivelab.org/iiif/heresies_13$97/1683,2057,333,571/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-image-fighting-woman-news-advertisement-image-1683-2057-333-571.jpg
875fc7c9-8bb3-40ba-943b-0e71d9bee7be,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement,Fighting Woman News,"1679,2056,644,1097","https://iiif.archivelab.org/iiif/heresies_13$97/1679,2056,644,1097/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-fighting-woman-news-1679-2056-644-1097.jpg
8f038fdf-1f63-473a-9c6d-47c17eaa99a1,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement,Off Our Backs,"878,1054,838,1258","https://iiif.archivelab.org/iiif/heresies_13$97/878,1054,838,1258/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-off-our-backs-878-1054-838-1258.jpg
b024160b-85eb-4c8d-951e-22bde76875e3,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement,"The Seal Press 
 Title: What do feminist clowns, 19th century pioneers, indochinese refugees, black lesbians and activists from the peace and womens movements have in common? ... they're all a part of ""Backbone"" 3[,] a collection of essays, interviews, and photographs by Northwest women.","1735,1094,614,959","https://iiif.archivelab.org/iiif/heresies_13$97/1735,1094,614,959/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-the-seal-press--title--what-do-feminist-clowns--19th-century-pioneers--indochinese-refugees--black--1735-1094-614-959.jpg
56c030c9-3746-4ab5-93e4-37daf71db46f,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement,Astro Artz,"103,1068,775,1222","https://iiif.archivelab.org/iiif/heresies_13$97/103,1068,775,1222/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-astro-artz-103-1068-775-1222.jpg
f3fb0383-924a-4888-8ef8-2588c4b7a222,heresies_13,https://iiif.archivelab.org/iiif/heresies_13$97/canvas,97,advertisement,Frontiers,"135,2309,1081,824","https://iiif.archivelab.org/iiif/heresies_13$97/135,2309,1081,824/full/0/default.jpg",clippings/heresies_13/97/97-advertisement-frontiers-135-2309-1081-824.jpg
